timestamp,value
2010-09-23,609.3000000000001
2010-09-24,1037.7
2010-09-25,1325.7
2010-09-26,389.7
2010-09-27,379.8
2010-09-28,516.6
2010-09-29,413.1
2010-09-30,493.2
2010-10-01,990.9
2010-10-02,1099.8
2010-10-03,529.2
2010-10-04,453.6
2010-10-05,1098.0
2010-10-06,556.2
2010-10-07,602.1
2010-10-08,864.0
2010-10-09,1020.6
2010-10-10,374.40000000000003
2010-10-11,648.0
2010-10-12,480.6
2010-10-13,910.8000000000001
2010-10-14,977.4
2010-10-15,1084.5
2010-10-16,1497.6000000000001
2010-10-17,513.0
2010-10-18,608.4
2010-10-19,576.0
2010-10-20,585.0
2010-10-21,704.7
2010-10-22,899.1
2010-10-23,1136.7
2010-10-24,260.1
2010-10-25,454.5
2010-10-26,503.1
2010-10-27,546.3000000000001
2010-10-28,610.2
2010-10-29,897.3000000000001
2010-10-30,1132.2
2010-10-31,437.40000000000003
2010-11-01,442.8
2010-11-02,732.6
2010-11-03,500.40000000000003
2010-11-04,483.3
2010-11-05,1001.7
2010-11-06,1505.7
2010-11-07,572.4
2010-11-08,637.2
2010-11-09,629.1
2010-11-10,594.0
2010-11-11,882.9
2010-11-12,1022.4
2010-11-13,1392.3
2010-11-14,535.5
2010-11-15,630.9
2010-11-16,608.4
2010-11-17,707.4
2010-11-18,660.6
2010-11-19,1017.0
2010-11-20,1326.6000000000001
2010-11-21,422.1
2010-11-22,839.7
2010-11-23,879.3000000000001
2010-11-24,1052.1000000000001
2010-11-26,2860.2000000000003
2010-11-27,2036.7
2010-11-28,730.8000000000001
2010-11-29,989.1
2010-11-30,768.6
2010-12-01,1280.7
2010-12-02,828.9
2010-12-03,1728.9
2010-12-04,1989.0
2010-12-05,974.7
2010-12-06,1021.5
2010-12-07,1475.1000000000001
2010-12-08,1071.9
2010-12-09,1273.5
2010-12-10,2121.3
2010-12-11,2828.7000000000003
2010-12-12,1035.0
2010-12-13,1457.1000000000001
2010-12-14,1595.7
2010-12-15,1638.9
2010-12-16,1792.8
2010-12-17,2816.1
2010-12-18,3181.5
2010-12-19,1656.0
2010-12-20,2346.3
2010-12-21,2726.1
2010-12-22,2655.9
2010-12-23,3262.5
2010-12-24,2702.7000000000003
2010-12-26,1140.3
2010-12-27,2014.2
2010-12-28,1689.3
2010-12-29,1323.0
2010-12-30,1360.8
2010-12-31,1782.9
2011-01-01,1136.7
2011-01-02,604.8000000000001
2011-01-03,707.4
2011-01-04,919.8000000000001
